1950,59.5
1951,58.8
1952,59.3
1953,56.3
1954,56.5
1955,56.5
1956,54.4
1957,57.4
1958,59.1
1959,58.8
1960,54.4
1961,56
1962,60.6
1963,58.4
1964,60.7
1965,47.6
1966,53.1
1967,60.5
1968,51.9
1969,49.9
1970,55.2
1971,50.7
1972,51.9
1973,60.9
1974,54.4
1975,50.3
1976,52.2
1977,55.7
1978,59.7
1979,55.3
1980,47.6
1981,53
1982,49.1
1983,60
1984,60
1985,51.3
1986,60.7
1987,45.4
1988,47
1989,52.3
1990,58.3
1991,59.6
1992,53.1
1993,54.6
1994,55.4
1995,55.4
1996,56.7
1997,54.4
1998,50
1999,51.7
2000,65
2001,59.9
2002,45.9
2003,54.8
2004,49.9
2005,64.5
2006,56.4
2007,57.8
2008,46.4
2009,50.8
2010,53.4
2011,57.4
2012,44.9
2013,50.6
2014,49.7
2015,58
2016,56.7
2017,49.5
2018,55
