1950,58.2
1951,52.7
1952,55
1953,52.5
1954,48.7
1955,48.2
1956,58
1957,64.4
1958,51.2
1959,54.2
1960,51.8
1961,60.8
1962,62.7
1963,55.1
1964,53.5
1965,64.2
1966,65.1
1967,58
1968,38.5
1969,54.4
1970,55.6
1971,47.5
1972,52.7
1973,54
1974,49.1
1975,61.4
1976,51.6
1977,49
1978,57.3
1979,53.6
1980,63.8
1981,55.1
1982,52.7
1983,52.3
1984,52.9
1985,58.2
1986,51.9
1987,52.7
1988,56.5
1989,57.5
1990,53.1
1991,48.4
1992,46.8
1993,49.9
1994,56.6
1995,55.5
1996,63.1
1997,53
1998,57.4
1999,49.5
2000,57.6
2001,55.4
2002,52.4
2003,52.2
2004,56.1
2005,60.7
2006,52.4
2007,56.9
2008,60.5
2009,60.6
2010,49.3
2011,57.2
2012,51.5
2013,55.1
2014,51.9
2015,56
2016,59.7
2017,57.4
2018,54.5
