1950,53.6
1951,57.3
1952,55.2
1953,60.1
1954,55.7
1955,54.6
1956,54.8
1957,53.1
1958,60.6
1959,49.7
1960,47.3
1961,52.7
1962,54.6
1963,60.6
1964,59.8
1965,48.2
1966,51.4
1967,59.2
1968,59.8
1969,59.5
1970,46.1
1971,63.7
1972,54.5
1973,60.9
1974,54.1
1975,60.4
1976,58.9
1977,60.8
1978,52.6
1979,56.4
1980,51
1981,52.6
1982,68.2
1983,50.9
1984,64.1
1985,55.6
1986,63.1
1987,53.9
1988,56.7
1989,55.7
1990,58
1991,54.3
1992,60.3
1993,49.6
1994,60.6
1995,45.4
1996,56.3
1997,59.6
1998,58
1999,45.7
2000,53.6
2001,54.4
2002,55.1
2003,68.5
2004,54.4
2005,53.8
2006,50.8
2007,53
2008,54.5
2009,55.9
2010,49
2011,49.5
2012,59.9
2013,59.4
2014,64.4
2015,50.5
2016,51.2
2017,53.8
2018,49.4
