1950,57.4
1951,56.2
1952,54.4
1953,53.6
1954,50.9
1955,57.7
1956,52
1957,57.9
1958,67.6
1959,54.4
1960,55.3
1961,55
1962,54.5
1963,52.8
1964,47.1
1965,56.1
1966,54.9
1967,66.2
1968,50.8
1969,43.9
1970,53.1
1971,54.2
1972,55.8
1973,50.4
1974,47.3
1975,58.3
1976,63
1977,49.3
1978,44.7
1979,61.4
1980,59.5
1981,51.4
1982,48.5
1983,58.1
1984,61.3
1985,56.1
1986,48.8
1987,54.6
1988,45.1
1989,55.2
1990,53.6
1991,66.1
1992,55.8
1993,50.2
1994,68
1995,55.3
1996,56
1997,58.3
1998,49
1999,47.5
2000,56.4
2001,59.6
2002,56.6
2003,55.1
2004,55.5
2005,51.2
2006,54.2
2007,45.5
2008,60.7
2009,55.7
2010,44.4
2011,51.9
2012,51.7
2013,48.4
2014,49.2
2015,53.7
2016,47.5
2017,61
2018,53.3
