1950,52.8
1951,54
1952,49.5
1953,60.1
1954,53
1955,56
1956,44.6
1957,51.2
1958,52.5
1959,62.9
1960,63.1
1961,54.9
1962,49.2
1963,52.6
1964,58.7
1965,51.6
1966,56.5
1967,50
1968,55.7
1969,48.1
1970,51.4
1971,56.7
1972,61
1973,53.9
1974,62.7
1975,52.6
1976,59.2
1977,66.1
1978,47.2
1979,54.8
1980,45.5
1981,59.4
1982,57.9
1983,55.8
1984,49.2
1985,55.6
1986,55.8
1987,58.3
1988,50.4
1989,61.1
1990,61
1991,45.5
1992,55.7
1993,59
1994,57.4
1995,49.4
1996,56.2
1997,48.8
1998,61
1999,62.3
2000,50.4
2001,47.9
2002,66.2
2003,61.8
2004,52.9
2005,39.2
2006,57.2
2007,65.7
2008,61.2
2009,60.3
2010,57.6
2011,54.3
2012,54.7
2013,49
2014,53
2015,58
2016,57.8
2017,55.5
2018,60.6
