1950,49.9
1951,57
1952,58.1
1953,52.8
1954,49
1955,59.8
1956,63.4
1957,52.7
1958,54
1959,58.6
1960,57.5
1961,45.1
1962,56.9
1963,58.2
1964,57
1965,57.3
1966,59.7
1967,51.9
1968,58.8
1969,56.6
1970,52.9
1971,52.7
1972,55.3
1973,52
1974,53.1
1975,56
1976,51.2
1977,55.6
1978,54.7
1979,58.2
1980,50.7
1981,58.1
1982,57.6
1983,58.8
1984,51.6
1985,50
1986,60.4
1987,53.6
1988,55.6
1989,56
1990,51.2
1991,51.1
1992,54.1
1993,44.4
1994,56.6
1995,53.7
1996,60.1
1997,58.6
1998,57.4
1999,57.8
2000,42.9
2001,57.9
2002,59.3
2003,53.6
2004,55.8
2005,59.7
2006,52.9
2007,42.6
2008,63.5
2009,54.6
2010,54.6
2011,53.4
2012,55.1
2013,60.3
2014,58.2
2015,49.2
2016,54.7
2017,56
2018,56.8
