1950,67.8
1951,56.1
1952,51.7
1953,60.5
1954,54.1
1955,58.1
1956,57.7
1957,49.4
1958,53.3
1959,51.4
1960,52
1961,54
1962,53.2
1963,49.8
1964,53.4
1965,49.5
1966,58.4
1967,50.6
1968,58
1969,57.9
1970,51.9
1971,51.8
1972,55.7
1973,46.9
1974,46.5
1975,62.3
1976,58.5
1977,43.9
1978,56
1979,65.3
1980,55.9
1981,59.6
1982,51.6
1983,59.7
1984,49.5
1985,58.5
1986,55.1
1987,64.5
1988,67.5
1989,54.3
1990,57
1991,52.2
1992,49.2
1993,55.3
1994,44.4
1995,54.1
1996,47.8
1997,54.9
1998,55.2
1999,58.6
2000,63
2001,45.1
2002,61
2003,57.9
2004,60.6
2005,57.8
2006,57.5
2007,49.7
2008,60.6
2009,53.1
2010,56.1
2011,48.7
2012,44.1
2013,47.7
2014,53.8
2015,56.6
2016,53.7
2017,50.6
2018,49.2
