1950,55.5
1951,57.3
1952,51.4
1953,48.7
1954,48.1
1955,56.7
1956,51.4
1957,58.6
1958,58.9
1959,62.7
1960,59
1961,52.9
1962,47
1963,51.5
1964,55.1
1965,53.1
1966,51.3
1967,56.5
1968,47.9
1969,50.8
1970,57.5
1971,49
1972,64
1973,52.8
1974,48.8
1975,54.6
1976,58.2
1977,65.9
1978,44.9
1979,59.7
1980,44.8
1981,53.3
1982,55.9
1983,57.2
1984,51.2
1985,56.8
1986,48.8
1987,47
1988,60
1989,57.5
1990,50.6
1991,57.1
1992,61.9
1993,45.3
1994,50
1995,55.7
1996,58
1997,55.8
1998,52.9
1999,54.1
2000,51.6
2001,49.9
2002,46.9
2003,56.6
2004,56.8
2005,52.5
2006,52.1
2007,54.7
2008,60.9
2009,53.3
2010,51.4
2011,52.3
2012,58
2013,61.4
2014,54.3
2015,50.5
2016,51.9
2017,54.7
2018,64.5
